id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
22817,23 04 2000,Mozambique,Sudan,2,1,FIFA World Cup qualification,Maputo,Mozambique,FALSE
22818,23 04 2000,Senegal,Benin,1,0,FIFA World Cup qualification,Dakar,Senegal,FALSE
22819,23 04 2000,Togo,Guinea-Bissau,3,0,FIFA World Cup qualification,Lom??,Togo,FALSE
22820,23 04 2000,Zimbabwe,Central African Republic,3,1,FIFA World Cup qualification,Harare,Zimbabwe,FALSE
22821,25 04 2000,Hong Kong,China PR,0,1,Friendly,Victoria,Hong Kong,FALSE
22822,26 04 2000,Andorra,Belarus,2,0,Friendly,Sant Juli?? de L??ria,Andorra,FALSE
22823,26 04 2000,Armenia,Georgia,0,0,Friendly,Yerevan,Armenia,FALSE
22824,26 04 2000,Austria,Croatia,1,2,Friendly,Vienna,Austria,FALSE
22825,26 04 2000,Bolivia,Colombia,1,1,FIFA World Cup qualification,La Paz,Bolivia,FALSE
22826,26 04 2000,Brazil,Ecuador,3,2,FIFA World Cup qualification,S??o Paulo,Brazil,FALSE
22827,26 04 2000,Bulgaria,Ukraine,0,1,Friendly,Sofia,Bulgaria,FALSE
22828,26 04 2000,Chile,Peru,1,1,FIFA World Cup qualification,Santiago,Chile,FALSE
22829,26 04 2000,Czech Republic,Israel,4,1,Friendly,Prague,Czech Republic,FALSE
22830,26 04 2000,Denmark,Sweden,0,1,Friendly,Copenhagen,Denmark,FALSE
22831,26 04 2000,France,Slovenia,3,2,Friendly,Saint-Denis,France,FALSE
22832,26 04 2000,Germany,Switzerland,1,1,Friendly,Kaiserslautern,Germany,FALSE
22833,26 04 2000,Republic of Ireland,Greece,0,1,Friendly,Dublin,Republic of Ireland,FALSE
22834,26 04 2000,Italy,Portugal,2,0,Friendly,Reggio di Calabria,Italy,FALSE
22835,26 04 2000,South Korea,Japan,1,0,Friendly,Seoul,South Korea,FALSE
22836,26 04 2000,Liechtenstein,Faroe Islands,0,1,Friendly,Vaduz,Liechtenstein,FALSE
22837,26 04 2000,Lithuania,Latvia,2,1,Baltic Cup,Kaunas,Lithuania,FALSE
22838,26 04 2000,Luxembourg,Estonia,1,1,Friendly,Luxembourg,Luxembourg,FALSE
22839,26 04 2000,North Macedonia,Albania,1,0,Friendly,Prilep,North Macedonia,FALSE
22840,26 04 2000,Netherlands,Scotland,0,0,Friendly,Arnhem,Netherlands,FALSE
22841,26 04 2000,Northern Ireland,Hungary,0,1,Friendly,Belfast,Northern Ireland,FALSE
22842,26 04 2000,Norway,Belgium,0,2,Friendly,Oslo,Norway,FALSE
22843,26 04 2000,Paraguay,Uruguay,1,0,FIFA World Cup qualification,Asunci??n,Paraguay,FALSE
22844,26 04 2000,Poland,Finland,0,0,Friendly,Pozna??,Poland,FALSE
22845,26 04 2000,Romania,Cyprus,2,0,Friendly,Constan??a,Romania,FALSE
22846,26 04 2000,Russia,United States,2,0,Friendly,Moscow,Russia,FALSE
22847,26 04 2000,San Marino,Moldova,0,1,Friendly,Serravalle,San Marino,FALSE
22848,26 04 2000,Venezuela,Argentina,0,4,FIFA World Cup qualification,Maracaibo,Venezuela,FALSE
22849,29 04 2000,Antigua and Barbuda,Dominica,3,2,Friendly,Road Town,British Virgin Islands,TRUE
22850,29 04 2000,British Virgin Islands,Sint Maarten,0,0,Friendly,Road Town,British Virgin Islands,FALSE
22851,29 04 2000,South Africa,Mauritius,3,0,COSAFA Cup,Rustenburg,South Africa,FALSE
22852,30 04 2000,British Virgin Islands,Antigua and Barbuda,1,1,Friendly,Road Town,British Virgin Islands,FALSE
22853,30 04 2000,Dominica,Sint Maarten,3,1,Friendly,Road Town,British Virgin Islands,TRUE
22854,1 05 2000,Jersey,Guernsey,1,0,Friendly,St. Helier,Jersey,FALSE
22855,1 05 2000,Maldives,Sri Lanka,1,1,Friendly,Mal??,Maldives,FALSE
22856,2 05 2000,Bangladesh,India,1,1,Friendly,Mal??,Maldives,TRUE
22857,4 05 2000,Cape Verde,Gambia,1,1,Am??lcar Cabral Cup,Praia,Cape Verde,FALSE
22858,4 05 2000,Maldives,Bangladesh,1,1,Friendly,Mal??,Maldives,FALSE
22859,5 05 2000,Guinea,Mali,3,1,Am??lcar Cabral Cup,Praia,Cape Verde,TRUE
22860,5 05 2000,Guinea-Bissau,Mauritania,1,0,Am??lcar Cabral Cup,Praia,Cape Verde,TRUE
22861,5 05 2000,India,Sri Lanka,0,1,Friendly,Mal??,Maldives,TRUE
22862,6 05 2000,Cape Verde,Sierra Leone,1,0,Am??lcar Cabral Cup,Praia,Cape Verde,FALSE
22863,6 05 2000,Gambia,Senegal,1,1,Am??lcar Cabral Cup,Praia,Cape Verde,TRUE
22864,7 05 2000,Bangladesh,Sri Lanka,0,1,Friendly,Mal??,Maldives,TRUE
22865,7 05 2000,Cuba,Barbados,1,1,FIFA World Cup qualification,Havana,Cuba,FALSE
22866,7 05 2000,El Salvador,Guatemala,1,1,FIFA World Cup qualification,San Salvador,El Salvador,FALSE
22867,7 05 2000,Guinea,Mauritania,1,1,Am??lcar Cabral Cup,Praia,Cape Verde,TRUE
22868,7 05 2000,Honduras,Panama,3,1,FIFA World Cup qualification,Tegucigalpa,Honduras,FALSE
22869,7 05 2000,Mali,Guinea-Bissau,3,2,Am??lcar Cabral Cup,Praia,Cape Verde,TRUE
22870,7 05 2000,Trinidad and Tobago,Haiti,3,1,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,FALSE
22871,8 05 2000,Cape Verde,Senegal,2,2,Am??lcar Cabral Cup,Praia,Cape Verde,FALSE
22872,8 05 2000,Gambia,Sierra Leone,2,2,Am??lcar Cabral Cup,Praia,Cape Verde,TRUE
22873,8 05 2000,Maldives,India,1,0,Friendly,Mal??,Maldives,FALSE
22874,9 05 2000,Guinea,Guinea-Bissau,2,1,Am??lcar Cabral Cup,Praia,Cape Verde,TRUE
22875,9 05 2000,Mali,Mauritania,2,2,Am??lcar Cabral Cup,Praia,Cape Verde,TRUE
22876,10 05 2000,Maldives,Sri Lanka,1,1,Friendly,Mal??,Maldives,FALSE
22877,11 05 2000,Cape Verde,Guinea,2,0,Am??lcar Cabral Cup,Praia,Cape Verde,FALSE
22878,11 05 2000,Senegal,Mali,2,2,Am??lcar Cabral Cup,Praia,Cape Verde,TRUE
22879,13 05 2000,Jordan,Lebanon,1,1,Friendly,Limassol,Cyprus,TRUE
22880,14 05 2000,Cape Verde,Senegal,1,0,Am??lcar Cabral Cup,Praia,Cape Verde,FALSE
22881,14 05 2000,Guinea,Mali,2,0,Am??lcar Cabral Cup,Praia,Cape Verde,TRUE
22882,14 05 2000,Jamaica,Panama,0,1,Friendly,Montego Bay,Jamaica,FALSE
22883,14 05 2000,Zimbabwe,Namibia,3,2,COSAFA Cup,Harare,Zimbabwe,FALSE
